Sex,Age,Annual Income (k$),Spending Score (1-100)
Male,21,15,81
Female,34,58,60
Male,19,74,10
Female,22,17,76
Male,57,54,51
Female,31,70,77
Male,67,54,41
Female,60,50,56
Female,23,62,41
Female,35,21,35
Female,38,78,76
Female,54,101,24
Female,32,103,69
Female,35,19,99
Female,50,40,55
Female,49,39,28
Female,23,29,87
Male,48,60,49
Female,25,72,34
Female,68,59,55
Female,35,18,6
Male,33,113,8
Female,44,78,20
Female,65,38,35
Female,19,63,54
Female,31,72,71
Female,21,30,73
Female,29,98,88
Female,51,44,50
Female,23,18,94
Female,63,65,43
Female,27,46,51
Male,28,77,97
Female,42,34,17
Male,19,15,39
Male,68,63,43
Female,18,65,48
Female,36,85,75
Male,50,85,26
Female,20,16,6
Male,25,24,73
Female,29,40,42
Male,18,59,41
Male,34,78,1
Female,35,74,72
Male,36,87,92
Male,28,87,75
Male,18,33,92
Female,29,73,88
Female,21,62,42
Male,65,63,52
Male,19,81,5
Male,47,71,9
Male,22,20,79
Female,49,54,42
Female,43,48,50
Female,58,20,15
Male,59,54,47
Female,50,43,45
Female,49,62,48
Female,44,73,7
Male,54,63,46
Male,32,73,73
Female,30,19,72
Female,47,60,47
Male,32,126,74
Female,38,64,42
Male,59,43,60
Female,41,103,17
Female,30,78,73
Female,46,54,44
Female,51,67,43
Male,20,61,49
Male,19,48,59
Female,23,16,77
Female,68,48,48
Male,36,87,10
Male,48,54,46
Male,58,88,15
Male,59,93,14
Female,55,57,58
Female,47,49,42
Female,30,78,78
Male,42,86,20
Male,38,54,55
Male,31,25,73
Female,54,47,59
Male,66,63,48
Female,32,60,42
Male,52,23,29
Female,32,48,47
Female,38,67,40
Male,64,19,3
Female,24,20,77
Female,38,113,91
Male,35,93,90
Female,30,88,86
Male,43,71,35
Female,34,78,22
Male,26,62,55
Male,39,69,91
Female,31,17,40
Female,32,76,87
Female,35,23,98
Female,36,87,27
Female,29,79,83
Male,70,46,56
Female,33,86,95
Female,23,70,29
Male,63,48,51
Male,35,24,35
Male,30,137,83
Male,34,78,90
Male,48,61,42
Male,49,62,56
Female,37,97,32
Male,37,20,13
Male,35,28,61
Male,20,21,66
Female,40,69,58
Female,47,78,16
Female,30,34,73
Male,29,28,82
Male,60,30,4
Female,32,97,86
Male,70,49,55
Male,40,71,95
Male,24,60,52
Male,20,73,5
Male,32,137,18
Male,33,42,60
Male,27,88,69
Female,20,37,75
Male,53,33,4
Male,40,54,48
Male,67,19,14
Male,30,99,97
Female,41,99,39
Male,18,48,59
Female,67,47,52
Female,31,40,42
Male,19,64,46
Male,37,78,1
Male,59,71,11
Female,50,67,57
Female,22,57,55
Male,32,75,93
Female,66,63,50
Female,57,75,5
Female,47,120,16
